Key,English,Russian,Spanish
lwas_chest_armor,Raider chest armor,Нагрудная броня рейдера,armadura de Raider
lwas_chest_armor_full_desc,"Randomly hand-assembled defenses that embody the spirit of fierce resource hunters. Metal plates, leather belts and rusty car elements welded together create the intimidating appearance of a real raider. Although the bulletproof vest is crude and rustic, it has proven its effectiveness in fights against other bandits and looters. The outfit highlights its owner's reputation as a dangerous fighter and a natural predator of the wastelands.","Хаотично собранная вручную защита, воплощающая дух жестоких охотников за ресурсами. Сваренные вместе металлические пластины, кожаные ремни и ржавые элементы автомобилей создают устрашающий облик настоящего рейдера. Хотя бронежилет груб и простоват, он доказал свою эффективность в схватках против других бандитов и мародёров. Экипировка подчёркивает репутацию своего владельца как опасного бойца и прирождённого хищника пустошей.","Protección caóticamente ensamblada a mano que encarna el espíritu de los cazadores de recursos feroces. Las placas de metal soldadas juntas, los cinturones de cuero y los elementos oxidados de los automóviles crean un aspecto intimidante de un verdadero asaltante. Aunque la armadura corporal es áspera y rústica, ha demostrado ser efectiva en las peleas contra otros bandidos y saqueadores. El equipo destaca la reputación de su propietario como un luchador peligroso y un depredador natural de los páramos."
lwas_chest_armor_small_desc,"Self-made protection made of metal and leather, provides minimal protection in combat.","Самодельная защита из металла и кожи, обеспечивает минимальную защиту в бою.","Protección casera hecha de metal y cuero, proporciona una protección mínima en combate."
balaclava,Balaclava,Балаклава,Pasamontañas
balaclava_full_desc,"A protective mask covering the face and neck, leaving only the eyes open. Made of thick fabric or synthetic, it is resistant to dirt and mechanical damage. It is used by raiders and survivors to disguise their appearance, protect them from dust, sand and cold. It is often decorated with gang symbols or individual drawings.","Защитная маска, закрывающая лицо и шею, оставляя открытыми лишь глаза. Изготовлена из плотной ткани или синтетики, устойчива к загрязнениям и механическим повреждениям. Используется рейдерами и выжившими для маскировки внешности, защиты от пыли, песка и холода. Часто украшена символикой банды или индивидуальными рисунками.","Máscara protectora que cubre la cara y el cuello, dejando solo los ojos abiertos. Hecho de tela gruesa o sintética, resistente a la suciedad y daños mecánicos. Utilizado por los asaltantes y sobrevivientes para enmascarar el exterior, proteger contra el polvo, la arena y el frío. A menudo decorado con símbolos de pandillas o dibujos individuales."
balaclava_small_desc,A fabric mask that hides the face and protects it from dirt and bad weather.,"Тканевая маска, скрывающая лицо и защищающая от загрязнений и непогоды.",Máscara de tela que oculta la cara y protege contra la contaminación y el mal tiempo.
makarov,Makarov's pistol,Пистолет Макарова,Pistola Makarov
makarov_full_desc,"A classic Soviet pistol developed in the middle of the 20th century. Reliable, easy to maintain and repair, ideal for survival in a post-apocalyptic world. It has a moderate capacity of a 9x18 mm cartridge, sufficient to defeat the enemy at short distances. It is widely distributed due to its simplicity and availability of spare parts. Ideal for self-defense and concealed carry.","Классический советский пистолет, разработанный в середине XX века. Надежный, простой в обслуживании и ремонте, идеально подходит для выживания в условиях пост-апокалиптического мира. Обладает умеренной мощностью патрона калибра 9х18 мм, достаточной для поражения противника на коротких дистанциях. Широко распространён благодаря своей простоте и доступности запчастей. Идеален для самообороны и скрытого ношения.","Pistola Soviética clásica desarrollada a mediados del siglo XX. Confiable, fácil de mantener y reparar, ideal para sobrevivir en un mundo post-apocalíptico. Tiene una potencia moderada del cartucho de calibre 9x18 mm, suficiente para derrotar al enemigo a distancias cortas. Ampliamente distribuido debido a su simplicidad y disponibilidad de piezas de repuesto. Ideal para autodefensa y transporte oculto."
makarov_small_desc,"Reliable short-barreled survival rifle, compact, easy to maintain, effective at short range.","Надежный короткоствол для выживания, компактный, простой в уходе, эффективный на ближних дистанциях.","Robusto cañón corto para la supervivencia, compacto, fácil de limpiar, eficaz a corta distancia."
fr15,fr15,fr15,fr15
fr15_full_desc,,,
fr15_small_desc,,,
cat_statue,Statuette cat,Статуэтка кошки,Estatuilla de gato
cat_statue_full_desc,,,
cat_statue_small_desc,,,
test_scriptable,test scriptable item,тест скрипт итем,spanish test scriptable item
test_scriptable_full_desc,,,
test_scriptable_small_desc,,,
backpack,Backpack,Рюкзак,Mochila
backpack_full_desc,,,
backpack_small_desc,,,
stack,Candy,Конфетка,Dulce
stack_full_desc,,,
stack_small_desc,,,
